Message,Payload,Attachment,Pin,Issuer,Date
bonjour||||Client|Fri Sep 10 2021 16:08:57
|Mes comptes|||Client|Fri Sep 10 2021 16:09:04
|Consultation|||Client|Fri Sep 10 2021 16:09:07
|Mon solde|||Client|Fri Sep 10 2021 16:09:13
|||xxxx|Client|Fri Sep 10 2021 16:09:31
bonjour||||Client|Fri Sep 10 2021 16:10:26
|Mes comptes|||Client|Fri Sep 10 2021 16:10:34
|Consultation|||Client|Fri Sep 10 2021 16:10:40
|Mon solde|||Client|Fri Sep 10 2021 16:10:55
|||xxxx|Client|Fri Sep 10 2021 16:11:13
|Mes comptes|||Client|Fri Sep 10 2021 16:11:56
|Consultation|||Client|Fri Sep 10 2021 16:12:00
|Mini-relevé|||Client|Fri Sep 10 2021 16:12:04
|||xxxx|Client|Fri Sep 10 2021 16:12:16
1||||Client|Fri Sep 10 2021 16:12:53
|Mes comptes|||Client|Fri Sep 10 2021 16:13:16
|Envoi d'argent|||Client|Fri Sep 10 2021 16:13:21
|Vers mon compte|||Client|Fri Sep 10 2021 16:13:45
|||xxxx|Client|Fri Sep 10 2021 16:13:58
1||||Client|Fri Sep 10 2021 16:14:29
0||||Client|Fri Sep 10 2021 16:15:13
|Mes comptes|||Client|Fri Sep 10 2021 16:15:34
|Envoi d'argent|||Client|Fri Sep 10 2021 16:15:40
|Vers un compte tiers|||Client|Fri Sep 10 2021 16:15:44
|||xxxx|Client|Fri Sep 10 2021 16:15:54
1||||Client|Fri Sep 10 2021 16:23:53
Autre compte||||Client|Fri Sep 10 2021 16:24:04
ABM||||Client|Fri Sep 10 2021 16:27:24
00011000142110055840878||||Client|Fri Sep 10 2021 16:29:18
Ralamboarison Rajo||||Client|Fri Sep 10 2021 16:29:56
500000||||Client|Fri Sep 10 2021 16:30:29
|Mes comptes|||Client|Fri Sep 10 2021 16:35:15
|Envoi d'argent|||Client|Fri Sep 10 2021 16:35:20
|Vers un compte tiers|||Client|Fri Sep 10 2021 16:35:23
|||xxxx|Client|Fri Sep 10 2021 16:35:36
1||||Client|Fri Sep 10 2021 16:36:00
Autre compte||||Client|Fri Sep 10 2021 16:36:09
ABM||||Client|Fri Sep 10 2021 16:36:12
00011000142110055840878||||Client|Fri Sep 10 2021 16:36:27
Test virement Rajo||||Client|Fri Sep 10 2021 16:36:50
200000||||Client|Fri Sep 10 2021 16:36:59
Loyer test||||Client|Fri Sep 10 2021 16:37:23
|||xxxx|Client|Fri Sep 10 2021 16:38:12
|Enregistrer|||Client|Fri Sep 10 2021 16:38:41
Loyer_test_virement||||Client|Fri Sep 10 2021 16:39:09
Loyer test virement||||Client|Fri Sep 10 2021 16:39:35
Loyervrt||||Client|Fri Sep 10 2021 16:39:55
|VALIDER|||Client|Fri Sep 10 2021 16:40:09
