Message,Payload,Attachment,Pin,Issuer,Date
|Code oublié|||Client|Fri Sep 10 2021 09:21:43
|Oui, je valide|||Client|Fri Sep 10 2021 09:21:48
|||xxxx|Client|Fri Sep 10 2021 09:21:59
|||xxxx|Client|Fri Sep 10 2021 09:23:34
Cc||||Client|Fri Sep 10 2021 09:24:40
|Mes comptes|||Client|Fri Sep 10 2021 09:24:48
|Consultation|||Client|Fri Sep 10 2021 09:24:58
|Mon solde|||Client|Fri Sep 10 2021 09:25:07
|||xxxx|Client|Fri Sep 10 2021 09:25:24
|||xxxx|Client|Fri Sep 10 2021 09:26:04
Cc||||Client|Fri Sep 10 2021 10:08:28
